name,group,elicited_points,confidence,elicitation_meta
Design Complexity,Economic,"[[6.0, 0.0], [5.0, 0.0], [4.0, 0.33], [3.0, 0.66], [2.0, 1.0], [1.0, 1.0]]",3,"{""mode"": ""Manual"", ""notes"": ""elicited via ranking_value_ui""}"
Construction Complexity - IT,Economic,"[[6.0, 0.0], [5.0, 0.0], [4.0, 0.33], [3.0, 0.66], [2.0, 1.0], [1.0, 1.0]]",3,"{""mode"": ""Manual"", ""notes"": ""elicited via ranking_value_ui""}"
Construction Complexity - CH,Economic,"[[6.0, 0.0], [5.0, 0.0], [4.0, 0.33], [3.0, 0.66], [2.0, 1.0], [1.0, 1.0]]",3,"{""mode"": ""Manual"", ""notes"": ""elicited via ranking_value_ui""}"
Construction Complexity - FR,Economic,"[[6.0, 0.0], [5.0, 0.0], [4.0, 0.33], [3.0, 0.66], [2.0, 1.0], [1.0, 1.0]]",3,"{""mode"": ""Manual"", ""notes"": ""elicited via ranking_value_ui""}"
Construction Complexity - PO,Economic,"[[6.0, 0.0], [5.0, 0.0], [4.0, 0.33], [3.0, 0.66], [2.0, 1.0], [1.0, 1.0]]",3,"{""mode"": ""Manual"", ""notes"": ""elicited via ranking_value_ui""}"
Supplier Availbility - IT,Feasibility,"[[1.0, 0.0], [2.25, 0.0], [3.5, 0.5], [4.75, 1.0], [6.0, 1.0]]",3,"{""mode"": ""Manual"", ""notes"": ""elicited via ranking_value_ui""}"
Supplier Availbility - CH,Feasibility,"[[1.0, 0.0], [2.25, 0.0], [3.5, 0.5], [4.75, 1.0], [6.0, 1.0]]",3,"{""mode"": ""Manual"", ""notes"": ""elicited via ranking_value_ui""}"
Supplier Availbility - FR,Feasibility,"[[1.0, 0.0], [2.25, 0.0], [3.5, 0.5], [4.75, 1.0], [6.0, 1.0]]",3,"{""mode"": ""Manual"", ""notes"": ""elicited via ranking_value_ui""}"
Supplier Availbility - PO,Feasibility,"[[1.0, 0.0], [2.25, 0.0], [3.5, 0.5], [4.75, 1.0], [6.0, 1.0]]",3,"{""mode"": ""Manual"", ""notes"": ""elicited via ranking_value_ui""}"
Licensing Status - IT,Feasibility,"[[1.0, 1.0], [5.0, 0.0], [4.0, 0.33], [3.0, 0.66], [2.0, 1.0], [6.0, 0.0]]",3,"{""mode"": ""Manual"", ""notes"": ""elicited via ranking_value_ui""}"
Licensing Status - CH,Feasibility,"[[1.0, 1.0], [5.0, 0.0], [4.0, 0.33], [3.0, 0.66], [2.0, 1.0], [6.0, 0.0]]",3,"{""mode"": ""Manual"", ""notes"": ""elicited via ranking_value_ui""}"
Licensing Status - FR,Feasibility,"[[1.0, 1.0], [5.0, 0.0], [4.0, 0.33], [3.0, 0.66], [2.0, 1.0], [6.0, 0.0]]",3,"{""mode"": ""Manual"", ""notes"": ""elicited via ranking_value_ui""}"
Licensing Status - PO,Feasibility,"[[1.0, 1.0], [5.0, 0.0], [4.0, 0.33], [3.0, 0.66], [2.0, 1.0], [6.0, 0.0]]",3,"{""mode"": ""Manual"", ""notes"": ""elicited via ranking_value_ui""}"
Design Maturity,Feasibility,"[[1.0, 1.0], [5.0, 0.0], [4.0, 0.47], [3.0, 0.66], [2.0, 1.0], [6.0, 0.0]]",3,"{""mode"": ""Manual"", ""notes"": ""elicited via ranking_value_ui""}"
