name,group,elicited_points,confidence,elicitation_meta
Design Maturity,Feasibility,"[[1.0, 0.0], [5.0, 0.8], [4.0, 0.7], [3.0, 0.3], [2.0, 0.2], [6.0, 1.0]]",3,"{""mode"": ""Manual"", ""notes"": ""elicited via ranking_value_ui""}"
Licensing Status - IT,Feasibility,"[[1.0, 0.0], [5.0, 0.8], [4.0, 0.6], [3.0, 0.4], [2.0, 0.2], [6.0, 1.0]]",2,"{""mode"": ""Manual"", ""notes"": ""elicited via ranking_value_ui""}"
Licensing Status - CH,Feasibility,"[[1.0, 0.0], [5.0, 0.8], [4.0, 0.6], [3.0, 0.4], [2.0, 0.2], [6.0, 1.0]]",2,"{""mode"": ""Manual"", ""notes"": ""elicited via ranking_value_ui""}"
Licensing Status - FR,Feasibility,"[[1.0, 0.0], [5.0, 1.0], [4.0, 0.6], [3.0, 0.4], [2.0, 0.2], [6.0, 1.0]]",2,"{""mode"": ""Manual"", ""notes"": ""elicited via ranking_value_ui""}"
Licensing Status - PO,Feasibility,"[[1.0, 0.0], [5.0, 0.8], [4.0, 0.6], [3.0, 0.4], [2.0, 0.2], [6.0, 1.0]]",2,"{""mode"": ""Manual"", ""notes"": ""elicited via ranking_value_ui""}"
Design Complexity,Economic,"[[1.0, 1.0], [5.0, 0.2], [4.0, 0.3], [3.0, 0.7], [2.0, 0.8], [6.0, 0.0]]",3,"{""mode"": ""Manual"", ""notes"": ""elicited via ranking_value_ui""}"
Construction Complexity - IT,Economic,"[[1.0, 0.0], [5.0, 0.8], [4.0, 0.8], [3.0, 0.8], [2.0, 0.4], [6.0, 1.0]]",2,"{""mode"": ""Manual"", ""notes"": ""elicited via ranking_value_ui""}"
Construction Complexity - CH,Economic,"[[1.0, 0.0], [4.333333333333334, 0.8], [2.666666666666667, 0.4], [6.0, 1.0]]",2,"{""mode"": ""Manual"", ""notes"": ""elicited via ranking_value_ui""}"
Construction Complexity - FR,Economic,"[[1.0, 0.0], [4.75, 0.8], [3.5, 0.4], [2.25, 0.6], [6.0, 1.0]]",2,"{""mode"": ""Manual"", ""notes"": ""elicited via ranking_value_ui""}"
Construction Complexity - PO,Economic,"[[1.0, 0.0], [4.333333333333334, 0.8], [2.666666666666667, 0.4], [6.0, 1.0]]",2,"{""mode"": ""Manual"", ""notes"": ""elicited via ranking_value_ui""}"
Supplier Availbility - IT,Feasibility,"[[1.0, 0.0], [4.333333333333334, 0.66], [2.666666666666667, 0.33], [6.0, 1.0]]",3,"{""mode"": ""Manual"", ""notes"": ""elicited via ranking_value_ui""}"
Supplier Availbility - CH,Feasibility,"[[1.0, 0.0], [4.333333333333334, 0.66], [2.666666666666667, 0.33], [6.0, 1.0]]",3,"{""mode"": ""Manual"", ""notes"": ""elicited via ranking_value_ui""}"
Supplier Availbility - FR,Feasibility,"[[1.0, 0.0], [4.75, 0.75], [3.5, 0.5], [2.25, 0.25], [6.0, 1.0]]",3,"{""mode"": ""Manual"", ""notes"": ""elicited via ranking_value_ui""}"
Supplier Availbility - PO,Feasibility,"[[1.0, 0.0], [4.333333333333334, 0.66], [2.666666666666667, 0.33], [6.0, 1.0]]",3,"{""mode"": ""Manual"", ""notes"": ""elicited via ranking_value_ui""}"
