name,group,elicited_points,confidence,elicitation_meta
Licensing Status - IT,Feasibility,"[[1.0, 0.0], [5.0, 0.2], [4.0, 0.4], [3.0, 0.6], [2.0, 0.8], [6.0, 1.0]]",3,"{""mode"": ""Manual"", ""notes"": ""elicited via ranking_value_ui""}"
Licensing Status - CH,Feasibility,"[[1.0, 0.0], [5.0, 0.2], [4.0, 0.4], [3.0, 0.6], [2.0, 0.8], [6.0, 1.0]]",3,"{""mode"": ""Manual"", ""notes"": ""elicited via ranking_value_ui""}"
Licensing Status - FR,Feasibility,"[[1.0, 0.0], [5.0, 0.2], [4.0, 0.4], [3.0, 0.6], [2.0, 0.8], [6.0, 1.0]]",3,"{""mode"": ""Manual"", ""notes"": ""elicited via ranking_value_ui""}"
Licensing Status - PO,Feasibility,"[[1.0, 0.0], [5.0, 0.2], [4.0, 0.4], [3.0, 0.6], [2.0, 0.8], [6.0, 1.0]]",3,"{""mode"": ""Manual"", ""notes"": ""elicited via ranking_value_ui""}"
Design Complexity,Economic,"[[1.0, 0.0], [5.0, 0.2], [4.0, 0.4], [3.0, 0.6], [2.0, 0.8], [6.0, 1.0]]",3,"{""mode"": ""Manual"", ""notes"": ""elicited via ranking_value_ui""}"
Construction Complexity - IT,Economic,"[[1.0, 0.0], [5.0, 0.2], [4.0, 0.4], [3.0, 0.6], [2.0, 0.8], [6.0, 1.0]]",3,"{""mode"": ""Manual"", ""notes"": ""elicited via ranking_value_ui""}"
Construction Complexity - CH,Economic,"[[1.0, 0.0], [5.0, 0.2], [4.0, 0.4], [3.0, 0.6], [2.0, 0.8], [6.0, 1.0]]",3,"{""mode"": ""Manual"", ""notes"": ""elicited via ranking_value_ui""}"
Construction Complexity - FR,Economic,"[[1.0, 0.0], [5.0, 0.2], [4.0, 0.4], [3.0, 0.6], [2.0, 0.8], [6.0, 1.0]]",3,"{""mode"": ""Manual"", ""notes"": ""elicited via ranking_value_ui""}"
Construction Complexity - PO,Economic,"[[1.0, 0.0], [5.0, 0.2], [4.0, 0.4], [3.0, 0.6], [2.0, 0.8], [6.0, 1.0]]",3,"{""mode"": ""Manual"", ""notes"": ""elicited via ranking_value_ui""}"
Supplier Availbility - IT,Feasibility,"[[1.0, 0.0], [4.75, 0.25], [3.5, 0.5], [2.25, 0.75], [6.0, 1.0]]",3,"{""mode"": ""Manual"", ""notes"": ""elicited via ranking_value_ui""}"
Supplier Availbility - CH,Feasibility,"[[1.0, 0.0], [4.75, 0.25], [3.5, 0.5], [2.25, 0.75], [6.0, 1.0]]",3,"{""mode"": ""Manual"", ""notes"": ""elicited via ranking_value_ui""}"
Supplier Availbility - FR,Feasibility,"[[1.0, 0.0], [4.75, 0.25], [3.5, 0.5], [2.25, 0.75], [6.0, 1.0]]",3,"{""mode"": ""Manual"", ""notes"": ""elicited via ranking_value_ui""}"
Supplier Availbility - PO,Feasibility,"[[1.0, 0.0], [4.75, 0.25], [3.5, 0.5], [2.25, 0.75], [6.0, 1.0]]",3,"{""mode"": ""Manual"", ""notes"": ""elicited via ranking_value_ui""}"
Design Maturity,Feasibility,"[[1.0, 0.0], [5.285714285714286, 0.85], [4.571428571428571, 0.79], [3.857142857142857, 0.57], [3.142857142857143, 0.23], [2.428571428571429, 0.16], [1.7142857142857144, 0.03], [6.0, 1.0]]",3,"{""mode"": ""Manual"", ""notes"": ""elicited via ranking_value_ui""}"
