Thermal Efficiency,0.019,0.02,0.021,0.022,0.023,0.024,0.025,0.026,0.027,0.028,0.029,0.03,0.031,0.032,0.033,0.034,0.035,0.036,0.037,0.038,0.039,0.04,0.041,0.042,0.044,0.045,0.046,0.047,0.048,0.049,0.051,0.052,0.054,0.055
Discharge Burnup,0.019,0.021,0.023,0.025,0.026,0.027,0.028,0.029,0.03,0.031,0.032,0.033,0.034,0.035,0.036,0.037,0.038,0.039,0.04,0.041,0.042,0.043,0.045,0.046,0.047,0.048,0.049,0.05,0.051,0.052,0.053,0.054,0.055,0.056,0.058,0.059,0.06,0.061,0.062,0.063,0.066,0.067,0.068,0.073,0.074,0.078,0.079,0.08,0.081,0.083,0.086,0.089,0.094,0.095,0.097,0.098,0.108,0.125
Load following Capabilities,0.012,0.013,0.014,0.015,0.016,0.017,0.018,0.019,0.02,0.021,0.022,0.023,0.024,0.025,0.026,0.027,0.028,0.029,0.03,0.031,0.032,0.033,0.034,0.035
Net Power Output,0.013,0.015,0.017,0.019,0.021,0.022,0.023,0.024,0.025,0.026,0.027,0.028,0.029,0.03,0.031,0.032,0.033,0.034,0.035,0.036,0.037,0.038,0.04,0.043,0.044,0.045,0.048,0.051,0.052,0.053,0.054,0.055,0.057,0.058,0.059,0.06,0.061,0.062,0.063,0.064,0.065,0.066,0.068,0.07,0.072,0.074,0.075,0.077,0.079,0.081,0.087,0.088,0.089,0.093,0.095,0.102,0.11,0.123
Capital Investment Budgeted,0.014,0.015,0.016,0.017,0.018,0.019,0.02,0.021,0.022,0.023,0.024,0.025,0.026,0.027,0.028,0.029,0.03,0.031,0.032,0.034,0.035,0.036,0.037,0.038,0.039,0.04,0.041,0.042,0.045,0.047,0.049,0.05,0.051,0.053,0.055,0.056,0.057,0.058,0.059,0.06,0.061,0.062,0.063,0.064,0.065,0.066,0.068,0.07,0.071,0.074,0.076,0.077,0.078,0.079,0.082,0.09,0.091,0.094,0.095,0.097,0.098,0.101,0.111
Operative + Fuel Costs,0.044,0.046,0.047,0.05,0.051,0.052,0.053,0.054,0.055,0.056,0.058,0.059,0.06,0.061,0.063,0.064,0.065,0.066,0.067,0.068,0.069,0.07,0.071,0.072,0.074,0.075,0.076,0.077,0.079,0.08,0.081,0.082,0.083,0.084,0.085,0.087,0.089,0.09,0.091,0.092,0.093,0.094,0.095,0.1,0.101,0.103,0.104,0.105,0.106,0.107,0.108,0.109,0.112,0.115,0.116,0.119,0.123,0.125,0.126
Design Complexity,0.006,0.007,0.008,0.009,0.01,0.011,0.012,0.013,0.014,0.015,0.016,0.019,0.02,0.021,0.022,0.023,0.024,0.025,0.026,0.028,0.029,0.033,0.034,0.035,0.036,0.037,0.042,0.043,0.046,0.051,0.052,0.054,0.057,0.06,0.062,0.064,0.066,0.069,0.073,0.075,0.079,0.083,0.084,0.087,0.089,0.092,0.099,0.1,0.103,0.111,0.126,0.132,0.137,0.138,0.14,0.148,0.149,0.15,0.151,0.152,0.154,0.155,0.156,0.158,0.16,0.161,0.163,0.165,0.168,0.171,0.172,0.178,0.181,0.183,0.185,0.191,0.192,0.193,0.2,0.203,0.213,0.217,0.219,0.225,0.273
Construction Complexity,0.005,0.006,0.008,0.009,0.01,0.011,0.012,0.013,0.014,0.016,0.017,0.018,0.019,0.02,0.022,0.025,0.026,0.027,0.028,0.029,0.03,0.031,0.032,0.033,0.034,0.036,0.037,0.04,0.043,0.044,0.049,0.05,0.053,0.055,0.056,0.057,0.058,0.063,0.066,0.069,0.076,0.078,0.081,0.087,0.096,0.102,0.103,0.105,0.116,0.121,0.126,0.137,0.143,0.144,0.147,0.149,0.15,0.152,0.153,0.156,0.161,0.164,0.165,0.166,0.168,0.169,0.171,0.174,0.176,0.178,0.179,0.184,0.187,0.188,0.194,0.195,0.197,0.198,0.199,0.201,0.207,0.224,0.228,0.243,0.244,0.249,0.271,0.295
Percived Safety,0.004,0.005,0.006,0.007,0.008,0.009,0.01,0.011,0.012,0.015,0.016,0.017,0.02,0.021,0.022,0.023,0.025,0.027,0.028,0.029,0.03,0.031,0.032,0.033,0.035,0.038,0.041,0.042,0.043,0.044,0.048,0.051,0.054,0.057,0.059,0.063,0.066,0.069,0.074,0.076,0.079,0.084,0.104,0.108,0.109,0.11,0.117,0.118,0.119,0.126,0.128,0.13,0.132,0.137,0.139,0.151,0.154,0.155,0.16,0.172,0.176,0.177,0.182,0.191,0.194,0.199,0.201
Nuclear Waste,0.04,0.042,0.043,0.045,0.046,0.047,0.048,0.049,0.05,0.051,0.052,0.053,0.054,0.055,0.056,0.057,0.058,0.059,0.06,0.061,0.062,0.063,0.064,0.065,0.066,0.067,0.068,0.069,0.07,0.072,0.073,0.074,0.075,0.076,0.077,0.078,0.079,0.081,0.082,0.083,0.085,0.086,0.091,0.092,0.093,0.095,0.096,0.097,0.098,0.1,0.102,0.105,0.108,0.112,0.113,0.114
