Type,Reference,Other,Value,Group,Confidence,a
best,Thermal Efficiency,Discharge Burnup,33.48,Technical,2,2.0017221520190587
best,Thermal Efficiency,Load following Capabilities,32.09,Technical,2,4.149666172106817
best,Thermal Efficiency,Net Power Output,36.17,Technical,2,1.0
worst,Load following Capabilities,Discharge Burnup,49.35,Technical,2,2.9765552501181856
worst,Load following Capabilities,Net Power Output,805.0,Technical,2,1.8472337674332686
best,Capital Investment Budgeted,Operative + Fuel Costs,7200.0,Economic,2,1.6666666666666667
best,Capital Investment Budgeted,Design Complexity,5600.0,Economic,2,1.25
best,Capital Investment Budgeted,Construction Complexity,7200.0,Economic,2,1.6666666666666667
worst,Operative + Fuel Costs,Design Complexity,4.55,Economic,2,1.407875656422025
worst,Operative + Fuel Costs,Construction Complexity,4.0,Economic,2,1.6655562958027983
best,Electricity Market Benefit,Percived Safety,49.0,Social,2,1.0
best,Electricity Market Benefit,Nuclear Waste,36.5,Social,2,1.9980019980019978
best,Electricity Market Benefit,GHGe Benefit,36.5,Social,2,1.9980019980019978
worst,Nuclear Waste,Percived Safety,2.0,Social,2,1.0
worst,Nuclear Waste,GHGe Benefit,2.19,Social,2,1.4271004570334376
best,Design Maturity,Licensing Status,4.62,Feasibility,2,1.380689129558345
best,Design Maturity,Supplier Availbility,3.5,Feasibility,2,1.9980019980019983
worst,Supplier Availbility,Licensing Status,5.33,Feasibility,2,1.1545557615796171
best,Design Maturity,Thermal Efficiency,2.5,Between-groups-B,2,3.325573661456602
best,Design Maturity,Capital Investment Budgeted,6.0,Between-groups-B,2,1.0
best,Design Maturity,Electricity Market Benefit,3.5,Between-groups-B,2,1.9980019980019983
worst,Thermal Efficiency,Capital Investment Budgeted,5000.0,Between-groups-B,2,1.1428571428571428
worst,Thermal Efficiency,Electricity Market Benefit,36.0,Between-groups-B,2,2.081078831266128
best,Nuclear Waste,Load following Capabilities,14.612,Between-groups-W,2,1.665556295802798
best,Nuclear Waste,Operative + Fuel Costs,18.978,Between-groups-W,2,2.4962556165751377
best,Nuclear Waste,Supplier Availbility,22.133859,Between-groups-W,2,3.903515497456043
worst,Supplier Availbility,Load following Capabilities,2.13,Between-groups-W,2,1.9933212014333155
worst,Supplier Availbility,Operative + Fuel Costs,26.19,Between-groups-W,2,3.3264033264033275
